"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADNIMERGE","Key variables merged into one data table","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PTID","ADNIMERGE","Key variables merged into one data table","-4","Original study protocol","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ABETA","ADNIMERGE","Key variables merged into one data table","-4","CSF ABETA","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","VISCODE","ADNIMERGE","Key variables merged into one data table","-4","Visit code","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","SITE","ADNIMERGE","Key variables merged into one data table","-4","Site","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","COLPROT","ADNIMERGE","Key variables merged into one data table","-4","Study protocol of data collection","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ORIGPROT","ADNIMERGE","Key variables merged into one data table","-4","Original study protocol","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EXAMDATE","ADNIMERGE","Key variables merged into one data table","-4","Date","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","DX_bl","ADNIMERGE","Key variables merged into one data table","-4","Baseline Dx","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","AGE","ADNIMERGE","Key variables merged into one data table","-4","Age","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PTGENDER","ADNIMERGE","Key variables merged into one data table","-4","Sex","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PTEDUCAT","ADNIMERGE","Key variables merged into one data table","-4","Education","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PTETHCAT","ADNIMERGE","Key variables merged into one data table","-4","Ethnicity","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PTRACCAT","ADNIMERGE","Key variables merged into one data table","-4","Race","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PTMARRY","ADNIMERGE","Key variables merged into one data table","-4","Marital","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","APOE4","ADNIMERGE","Key variables merged into one data table","-4","ApoE4","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","FDG","ADNIMERGE","Key variables merged into one data table","-4","Average FDG-PET of angular, temporal, and posterior cingulate","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PIB","ADNIMERGE","Key variables merged into one data table","-4","Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","AV45","ADNIMERGE","Key variables merged into one data table","-4","Reference region - florbetapir mean of whole cerebellum.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","CDRSB","ADNIMERGE","Key variables merged into one data table","-4","CDR-SB","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ADAS11","ADNIMERGE","Key variables merged into one data table","-4","ADAS 11","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ADAS13","ADNIMERGE","Key variables merged into one data table","-4","ADAS 13","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","MMSE","ADNIMERGE","Key variables merged into one data table","-4","MMSE","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"-4","RAVLT","ADNIMERGE","Key ADNI tables merged into one table","-4","RAVLT (forgetting)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","From neurobat table","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06"
"","RAVLT_immediate","ADNIMERGE","Key variables merged into one data table","-4","RAVLT Immediate (sum of 5 trials)","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","FAQ","ADNIMERGE","Key variables merged into one data table","-4","FAQ","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","MOCA","ADNIMERGE","Key variables merged into one data table","-4","MOCA","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtMem","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Mem","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtLang","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Lang","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtVisspat","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Vis/Spat","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","mPACCdigit","ADNIMERGE","Key variables merged into one data table","-4","ADNI modified Preclinical Alzheimer's Cognitive Composite (PACC) with Digit Symbol Substitution","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtPlan","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Plan","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtOrgan","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Organ","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtDivatt","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Div atten","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtTotal","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Total","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPMem","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Mem","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPLang","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Lang","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","FSVERSION","ADNIMERGE","Key variables merged into one data table","-4","FreeSurfer Software Version","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPVisspat","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Vis/Spat","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPPlan","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Plan","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPOrgan","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Organ","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPDivatt","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Div atten","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPTotal","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Total","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","FLDSTRENG","ADNIMERGE","Key variables merged into one data table","-4","MRI Field Strength","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","Ventricles","ADNIMERGE","Key variables merged into one data table","-4","UCSF Ventricles","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","Hippocampus","ADNIMERGE","Key variables merged into one data table","-4","UCSF Hippocampus","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","WholeBrain","ADNIMERGE","Key variables merged into one data table","-4","UCSF WholeBrain","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","Entorhinal","ADNIMERGE","Key variables merged into one data table","-4","UCSF Entorhinal","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","Fusiform","ADNIMERGE","Key variables merged into one data table","-4","UCSF Fusiform","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","MidTemp","ADNIMERGE","Key variables merged into one data table","-4","UCSF Med Temp","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ICV","ADNIMERGE","Key variables merged into one data table","-4","UCSF ICV","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","DX","ADNIMERGE","Key variables merged into one data table","-4","Diagnosis","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EXAMDATE_bl","ADNIMERGE","Key variables merged into one data table","-4","Date","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","CDRSB_bl","ADNIMERGE","Key variables merged into one data table","-4","CDR-SB","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ADAS11_bl","ADNIMERGE","Key variables merged into one data table","-4","ADAS 11","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ADAS13_bl","ADNIMERGE","Key variables merged into one data table","-4","ADAS 13","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","MMSE_bl","ADNIMERGE","Key variables merged into one data table","-4","MMSE","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
